CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0024030350,0103,11/02/2017 02:20:00 PM,2.5,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,11/03/2017 03:50:00 PM,4,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/29/2017 06:20:00 AM,1,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/30/2017 08:20:00 AM,0.9,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,11/01/2017 02:50:00 AM,1.9,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,11/02/2017 10:10:00 PM,1.2,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/27/2017 04:40:00 AM,0.5,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,11/02/2017 03:30:00 AM,0.8,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/30/2017 08:00:00 PM,1.8,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,11/03/2017 11:30:00 AM,1.8,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/29/2017 07:50:00 PM,0.9,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,11/01/2017 12:20:00 PM,1.8,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/31/2017 06:10:00 PM,2.6,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/28/2017 06:50:00 PM,2.1,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,11/03/2017 03:10:00 AM,0.9,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/31/2017 12:20:00 AM,0.7,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/30/2017 05:40:00 PM,2.4,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/29/2017 02:40:00 PM,0.9,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/30/2017 10:00:00 PM,1.8,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/30/2017 02:40:00 PM,3.5,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
0024030350,0103,10/30/2017 11:00:00 PM,0.9,DUITAMA,BOYACÁ,DUITAMA,SOGAMOSO,5.83,-73.045,Velocidad Viento (10 min),m/s
